id,city,country,temperature,humidity,pressure,wind_speed,wind_direction,updated_at,description,lat,lng,aqi,co_conc,no_conc,no2_conc,o3_conc,so2_conc,pm2_5_conc,pm10_conc,nh3_conc
1,"Presidente Prudente",BR,19.75,94,1011,4.12,100,"2023-12-10 20:24:21","clear sky",-22.1276,-51.3856,2,393.87,0,5.74,42.56,0.67,12.3,13.09,1.5
2,"Presidente Prudente",BR,19.75,94,1011,4.12,100,"2023-12-10 20:54:22","clear sky",-22.1276,-51.3856,2,383.85,0,4.63,41.13,0.6,12.34,13.34,1.6
3,"Presidente Prudente",BR,19.75,100,1011,2.57,80,"2023-12-10 21:24:25","clear sky",-22.1276,-51.3856,2,383.85,0,4.63,41.13,0.6,12.34,13.34,1.6
4,"Presidente Prudente",BR,19.75,100,1011,2.57,80,"2023-12-10 21:54:26","clear sky",-22.1276,-51.3856,2,387.19,0,4.11,40.77,0.52,12.97,14.22,1.74
5,"Presidente Prudente",BR,19.75,100,1014,2.06,220,"2023-12-10 22:24:28","clear sky",-22.1276,-51.3856,2,387.19,0,4.11,40.77,0.52,12.97,14.22,1.74
6,"Presidente Prudente",BR,19.75,100,1014,2.06,220,"2023-12-10 22:54:29","clear sky",-22.1276,-51.3856,2,413.9,0,4.11,40.41,0.43,13.24,14.58,1.76
7,"Presidente Prudente",BR,19.75,100,1015,0,0,"2023-12-10 23:24:30","scattered clouds",-22.1276,-51.3856,2,413.9,0,4.11,40.41,0.43,13.24,14.58,1.76
8,"Presidente Prudente",BR,19.75,100,1015,0,0,"2023-12-10 23:54:32","scattered clouds",-22.1276,-51.3856,2,440.6,0,4.2,37.55,0.35,12.32,13.54,1.71
9,"Presidente Prudente",BR,19.75,100,1015,0,0,"2023-12-11 00:04:12","scattered clouds",-22.1276,-51.3856,2,440.6,0,4.2,37.55,0.35,12.32,13.54,1.71
10,"Presidente Prudente",BR,19.75,100,1014,2.06,140,"2023-12-11 00:44:13","few clouds",-22.1276,-51.3856,2,453.95,0,4.28,32.19,0.31,11.09,12.2,1.68
11,"Presidente Prudente",BR,19.75,100,1013,2.57,130,"2023-12-11 01:24:14","clear sky",-22.1276,-51.3856,2,453.95,0,4.28,32.19,0.31,11.09,12.2,1.68
12,"Presidente Prudente",BR,19.75,100,1013,2.57,130,"2023-12-11 02:04:15","clear sky",-22.1276,-51.3856,2,460.63,0,4.58,25.75,0.31,10.54,11.54,1.87
13,"Presidente Prudente",BR,19.75,100,1011,3.6,120,"2023-12-11 02:44:16","clear sky",-22.1276,-51.3856,2,467.3,0,4.93,20.92,0.33,10.45,11.45,2.19
14,"Presidente Prudente",BR,19.75,94,1010,3.6,110,"2023-12-11 03:24:17","clear sky",-22.1276,-51.3856,2,467.3,0,4.93,20.92,0.33,10.45,11.45,2.19
15,"Presidente Prudente",BR,20.19,92,1009,2.14,94,"2023-12-11 04:04:18","overcast clouds",-22.1276,-51.3856,2,480.65,0.01,5.27,17.7,0.35,10.82,11.85,2.44
16,"Presidente Prudente",BR,19.75,94,1009,1.03,180,"2023-12-11 04:44:19","clear sky",-22.1276,-51.3856,2,494,0.03,5.83,14.48,0.38,11.66,12.68,2.5
17,"Presidente Prudente",BR,18.75,100,1010,1.54,180,"2023-12-11 05:24:20","clear sky",-22.1276,-51.3856,2,560.76,0.04,6.43,13.41,0.48,19.55,20.67,2.31
18,"Presidente Prudente",BR,18.75,100,1010,1.54,180,"2023-12-11 06:04:21","clear sky",-22.1276,-51.3856,2,607.49,0.21,8.57,8.05,0.68,21.36,22.49,2.25
19,"Presidente Prudente",BR,18.75,100,1011,1.54,110,"2023-12-11 06:44:22","clear sky",-22.1276,-51.3856,2,667.57,2.35,10.03,6.53,0.86,22.43,23.7,2.06
20,"Presidente Prudente",BR,20.75,88,1011,2.06,140,"2023-12-11 07:24:23","clear sky",-22.1276,-51.3856,2,667.57,2.35,10.03,6.53,0.86,22.43,23.7,2.06
21,"Presidente Prudente",BR,20.75,88,1011,2.06,140,"2023-12-11 08:04:24","clear sky",-22.1276,-51.3856,2,700.95,4.92,8.91,13.41,0.89,22.89,24.51,2
22,"Presidente Prudente",BR,22.75,83,1012,4.12,120,"2023-12-11 08:44:25","clear sky",-22.1276,-51.3856,3,694.28,3.49,8.74,33.98,0.85,25.31,27.21,2.5
23,"Presidente Prudente",BR,23.75,78,1013,3.09,120,"2023-12-11 09:24:26","few clouds",-22.1276,-51.3856,3,694.28,3.49,8.74,33.98,0.85,25.31,27.21,2.5
24,"Presidente Prudente",BR,28.75,54,1012,1.54,240,"2023-12-11 13:48:10","broken clouds",-22.1276,-51.3856,2,410.56,0.08,0.59,86.55,0.15,12.76,13.17,1.35
